surface,player1_name,player1_ht,player1_ioc,player1_age,player2_name,player2_ht,player2_ioc,player2_age,score,best_of,round,minutes,p1_ace,p1_df,p1_svpt,p1_1stIn,p1_1st_Serve,p1_1stWon,p1_1st_Serve_won,p1_2ndWon,p1_2nd_serve_won,p1_bpSaved,p1_bpFaced,p1_breakpoint_saved,p2_ace,p2_df,p2_svpt,p2_1stIn,p2_1st_Serve,p2_1stWon,p2_1st_Serve_won,p2_2ndWon,p2_2nd_serve_won,p2_bpSaved,p2_bpFaced,p2_breakpoint_saved,winner_name
Hard,Soon Woo Kwon,180,KOR,25.1,Roberto Bautista Agut,183,ESP,34.7,6-4 3-6 7-6(4),3,F,162,11,2,98,53,54.08163265,42,79.24528302,23,51.11111111,4,7,57.14285714,5,2,101,60,59.40594059,45,75,18,43.90243902,4,7,57.14285714,Soon Woo Kwon
Hard,Roberto Bautista Agut,183,ESP,34.7,Thanasi Kokkinakis,196,AUS,26.7,7-6(4) 3-6 6-3,3,SF,154,7,1,107,70,65.42056075,52,74.28571429,20,54.05405405,11,12,91.66666667,20,1,77,46,59.74025974,39,84.7826087,22,70.96774194,0,1,0,Roberto Bautista Agut
Hard,Soon Woo Kwon,180,KOR,25.1,Jack Draper,191,GBR,21,7-6(6) 6-7(2) 6-3,3,SF,165,13,5,109,62,56.88073394,50,80.64516129,26,55.31914894,9,10,90,18,6,109,62,56.88073394,50,80.64516129,22,46.80851064,2,5,40,Soon Woo Kwon
Hard,Thanasi Kokkinakis,196,AUS,26.7,Miomir Kecmanovic,183,SRB,23.3,6-3 6-7(4) 6-1,3,QF,130,22,3,84,56,66.66666667,48,85.71428571,18,64.28571429,2,2,100,3,3,93,56,60.21505376,42,75,17,45.94594595,7,10,70,Thanasi Kokkinakis
Hard,Roberto Bautista Agut,183,ESP,34.7,Alejandro Davidovich Fokina,183,ESP,23.5,6-3 6-2,3,QF,82,6,0,42,32,76.19047619,25,78.125,8,80,0,0,#DIV/0!,2,3,66,35,53.03030303,21,60,13,41.93548387,7,11,63.63636364,Roberto Bautista Agut
Hard,Jack Draper,191,GBR,21,Karen Khachanov,198,RUS,26.6,6-4 7-6(3),3,QF,105,10,3,68,44,64.70588235,35,79.54545455,13,54.16666667,1,2,50,8,3,75,48,64,36,75,11,40.74074074,4,6,66.66666667,Jack Draper
Hard,Soon Woo Kwon,180,KOR,25.1,Mikael Ymer,183,SWE,24.3,6-1 6-2,3,QF,60,5,2,46,27,58.69565217,20,74.07407407,11,57.89473684,4,5,80,1,3,40,32,80,10,31.25,2,25,1,7,14.28571429,Soon Woo Kwon
Hard,Thanasi Kokkinakis,196,AUS,26.7,Andrey Rublev,188,RUS,25.2,6-4 3-6 6-3,3,R16,117,17,1,70,44,62.85714286,38,86.36363636,16,61.53846154,0,1,0,10,4,90,55,61.11111111,42,76.36363636,15,42.85714286,3,5,60,Thanasi Kokkinakis
Hard,Miomir Kecmanovic,183,SRB,23.3,Jason Kubler,178,AUS,29.6,5-7 7-6(1) 6-4,3,R16,154,14,1,92,54,58.69565217,43,79.62962963,23,60.52631579,1,4,25,19,3,113,72,63.71681416,50,69.44444444,22,53.65853659,5,8,62.5,Miomir Kecmanovic
Hard,Roberto Bautista Agut,183,ESP,34.7,Robin Haase,190,NED,35.7,6-3 3-6 6-3,3,R16,118,11,2,83,55,66.26506024,40,72.72727273,16,57.14285714,3,5,60,6,1,98,51,52.04081633,35,68.62745098,24,51.06382979,10,13,76.92307692,Roberto Bautista Agut
