name,opponent_name,winner,1st_Serve,1st_Serve_won,2nd_Serve_won,1st_Serve_Return_won,2nd_Serve_Return_won,Return_points_won
Laslo Djere,Alex Michelsen,TRUE,63.80%,75.70%,61.90%,31.60%,51.50%,40.80%
Alexander Shevchenko,Felix Auger Aliassime,FALSE,63.60%,71.40%,63.90%,25.80%,51.20%,35.80%
Borna Coric,Jason Jung,TRUE,63.60%,78.60%,68.80%,48.00%,62.50%,53.70%
Cameron Norrie,Marc Polmans,TRUE,63.60%,78.60%,68.80%,46.70%,62.50%,52.20%
Gael Monfils,Laslo Djere,TRUE,63.60%,82.90%,55.00%,48.80%,62.50%,52.50%
Rinky Hijikata,Laslo Djere,TRUE,63.50%,78.70%,45.70%,29.60%,46.90%,36.00%
Stefanos Tsitsipas,Nicolas Jarry,TRUE,63.50%,80.30%,65.70%,31.00%,43.80%,35.00%
Jack Draper,Cem Ilkel,TRUE,63.40%,88.50%,66.70%,52.90%,47.60%,50.90%
Alexandre Muller,Roman Safiullin,FALSE,63.40%,68.90%,46.20%,25.00%,50.00%,34.20%
Ugo Humbert,Dominic Thiem,TRUE,63.30%,84.20%,51.50%,27.10%,47.70%,35.90%
Fabian Marozsan,Dusan Lajovic,TRUE,63.30%,77.40%,55.60%,44.70%,63.20%,50.00%
Mackenzie Mcdonald,Diego Sebastian Schwartzman,TRUE,63.30%,83.90%,61.10%,38.60%,52.60%,42.90%
Aslan Karatsev,Matteo Arnaldi,TRUE,63.20%,83.30%,57.10%,33.30%,50.00%,39.70%
Matteo Arnaldi,Albert Ramos,TRUE,63.20%,71.70%,48.60%,26.00%,58.10%,38.30%
Roman Safiullin,Alexandre Muller,TRUE,63.20%,75.00%,50.00%,31.10%,53.80%,39.40%
Ugo Humbert,Marcos Giron,TRUE,63.20%,78.30%,62.90%,23.10%,50.00%,30.80%
Ugo Humbert,Fabio Fognini,TRUE,63.20%,87.50%,64.30%,48.70%,76.50%,57.10%
Carlos Alcaraz Garfia,Daniel Evans,TRUE,63.10%,70.70%,66.70%,33.90%,60.40%,45.80%
